family,contract_id,probes,requested,normalized,measured,verdict,evidence,note
GATE,GATE-EVENT-AMPLITUDE-CALIBRATION,P04a,evolution.amplitude_end_uv 200,seizure on F3-C3,last-third median 1-s p2p 136 uV; ratio 0.68,partial,probes,the ictal amplitude parameter is not documented as a display-montage p2p; the ratio is reported so P5 can decide the intended meaning
GATE,GATE-EVENT-AMPLITUDE-CALIBRATION,P05a,evolution.amplitude_end_uv 180,seizure on F7-T3,last-third median 1-s p2p 109 uV; ratio 0.60,partial,probes,the ictal amplitude parameter is not documented as a display-montage p2p; the ratio is reported so P5 can decide the intended meaning
GATE,GATE-EVENT-AMPLITUDE-CALIBRATION,P07a,rhythmic_pattern amplitude_uv 120.0,row T3-T5,median 1-s p2p during runs 96 uV; ratio 0.80,pass,probes,rhythmic_pattern amplitude is delivered several times larger than requested on the bipolar display montage
GATE,GATE-EVENT-AMPLITUDE-CALIBRATION,P08a,rhythmic_pattern amplitude_uv 60.0,row F8-T4,median 1-s p2p during runs 61 uV; ratio 1.02,pass,probes,rhythmic_pattern amplitude is delivered several times larger than requested on the bipolar display montage
GATE,GATE-STATE-CONSISTENT-COMPONENTS,P02d,suppressed 8.0 uV should stay below 25 uV,,"share of seconds with any derivation > 25 uV: 0.05; rows with the largest share: C4-O2 0.04, F4-C4 0.03, F3-C3 0.03",pass,probes,"frontal rows carry blink/eye-movement and PMA-table graphoelement components (P02d: frontal_sharp 102 uV, anterior_slow 75 uV) that are not scaled by the background type"
GATE,GATE-STATE-CONSISTENT-COMPONENTS,P06a,low_voltage 15 uV should stay below 25 uV,,"share of seconds with any derivation > 25 uV: 0.59; rows with the largest share: C4-P4 0.47, C3-P3 0.44, Cz-Pz 0.38",partial,probes,"frontal rows carry blink/eye-movement and PMA-table graphoelement components (P02d: frontal_sharp 102 uV, anterior_slow 75 uV) that are not scaled by the background type"
GATE,GATE-STATE-CONSISTENT-COMPONENTS,P06c,suppressed 8 uV should stay below 25 uV,,"share of seconds with any derivation > 25 uV: 0.00; rows with the largest share: Fp1-F7 0.00, F7-T3 0.00, T3-T5 0.00",pass,probes,"frontal rows carry blink/eye-movement and PMA-table graphoelement components (P02d: frontal_sharp 102 uV, anterior_slow 75 uV) that are not scaled by the background type"
GATE,GATE-POPULATION-ADULT,A01,adult population,age enum neonate/infant/child/adolescent,accepted,pass,acceptance,
GATE,GATE-REACTIVITY-ENUM,A07,reactivity unknown/unclear (ACNS),present|absent,accepted,pass,acceptance,
GATE,GATE-NEONATAL-SEIZURE-MINIMUM,A05;P03b,neonatal seizure >= 10 s,no duration floor in schema/semantic checks,"5-s seizure accepted; P03b runs realized: 9.0 s, 10.0 s, 11.0 s",no_rule,acceptance;P03b,the renderer emits exactly what is commanded; the ACNS floor must be enforced upstream or flagged
GATE,GATE-RPP-FREQUENCY-RANGE,A02;A03,RPP 0.5-4 Hz (ACNS); schema 0.2-30 Hz,frequency_hz min 0.2 max 30,30 Hz accepted; 0.1 Hz rejected,partial,acceptance,the schema rejects sub-0.2-Hz but accepts 30-Hz 'periodic discharges'
GATE,GATE-RPP-PATTERN-ENUM,A04,pattern restricted to ACNS main terms,free string,accepted,unsupported,acceptance,
AT-P01,NEO-CONTINUITY-NORMAL,P01a;P01b,"continuous term background, IBI fraction ~0",continuous; continuous,"IBI(<25 uV) fraction P01a 0.001, P01b 0.068; Cork grade-1 refs 0.038, 0.011, 0.002",measured,probes;references,"reference labels are Cork grades, not accepted ACNS labels"
AT-P01,NEO-VOLTAGE-ECI,P01a;P01b,absolute voltage; ECI <= 10 uV threshold,continuous; continuous,"median p2p P01a 36.0 uV, P01b 22.2 uV; Cork refs 26.2, 35.3, 47.2 uV",measured,probes;references,no ECI label or threshold exists in the renderer; voltage is a free parameter
AT-P01,NEO-BEHAVIORAL-STATE,P01a,state labels (wake / active / quiet sleep) with matching background,continuous,no state annotation is emitted; an internal sleep weighting modulates amplitude,unsupported,probes;references,state must be emitted and checkable before it can be graded
AT-P01,BG-SYMMETRY,P01c,left attenuation 40%,"{""side"": ""left"", ""attenuation_pct"": 40, ""slowing_hz"": 0, ""profile"": ""hemispheric""}",lateralization index (L-R)/(L+R) -0.407 vs P01a 0.134,measured,probes,expected negative index for left attenuation
AT-P02,NEO-DISCONTINUITY-ABNORMAL,P02a;P02b;P02c;P02d,"IBI duration/voltage, burst duration, suppression fraction",discontinuous; burst_suppression; excessively_discontinuous; suppressed,"P02a discontinuous: IBI frac 0.05, IBI median 3.0 s max 5.0 s, floor 20.2 uV, supp<5uV 0.00 | P02b burst_suppression: IBI frac 0.73, IBI median 10.0 s max 25.5 s, floor 4.0 uV, supp<5uV 0.65 | P02c excessively_discontinuous: IBI frac 0.09, IBI median 2.8 s max 5.2 s, floor 20.7 uV, supp<5uV 0.00 | P02d suppressed: IBI frac 0.95, IBI median 36.0 s max 108.5 s, floor 11.4 uV, supp<5uV 0.00 || refs: AT-R004(background grade 3): IBI frac 0.09, median 5.9 s, floor 20.8 uV | AT-R005(background grade 4): IBI frac 0.97, median 53.2 s, floor 12.2 uV | AT-R006(background grade 4): IBI frac 0.96, median 46.2 s, floor 13.0 uV",measured,probes;references,operational thresholds 25/5 uV on the max-across-derivations 1-s p2p envelope; AT-R006 has source-flagged flat data
AT-P02,NEO-CONTINUITY-NORMAL,P02a,contrast pair with continuous,discontinuous,see AT-P01 rows,measured,probes;references,
AT-P02,NEO-VOLTAGE-ECI,P02d,suppressed <= 10 uV,suppressed,"P02d median p2p 7.9 uV, p90 12.6 uV",measured,probes;references,
AT-P03,NEO-SEIZURE,P03a,"evolving, >= 10 s, >= 2 uV p2p, focal field","{""type"": ""seizure"", ""onset_min"": 10.0, ""duration_s"": 60, ""onset_region"": ""left_central"", ""spread"": ""none"", ""muscle"": ""none"", ""evolution"": {""start_hz"": 3.0, ""end","realized 60 s; f thirds [2.5, 2.0, 1.5]; changes 10; p2p thirds [57.837625764693186, 87.98423737401386, 84.97531026559001]; ictal/preictal 1.8; LI 0.27 || refs: AT-R007: dur 18 s, f thirds [2.75, 2.75, 2.0], changes 7, max p2p 58.6 uV, LI -0.54 | AT-R009: dur 850 s, f thirds [1.5, 1.5, 1.5], changes 327, max p2p 191.6 uV, LI 0.02 | AT-R011: dur 620 s, f thirds [1.5, 1.0, 1.0], changes 195, max p2p 260.1 uV, LI -0.01",measured,probes;references,"reference seizures are three-reviewer intersections, not yet Craig-accepted"
AT-P03,NEO-SEIZURE,P03b,10-s boundary,9 / 10 / 11 s commanded,cmd 9 s -> realized 9.0 s; cmd 10 s -> realized 10.0 s; cmd 11 s -> realized 11.0 s,no_rule,probes,no minimum-duration rule; sub-10-s runs are emitted and keyed as seizures
AT-P03,NEO-BRD,P03a,brief rhythmic discharge (< 10 s) as a distinct type,no BRD event type; a short 'seizure' is the only route,not emitted,unsupported,schema,
AT-P03,NEO-SEIZURE-BURDEN-STATUS,P03a,burden per hour with valid-time denominator; status thresholds,manifest lists commanded onsets/offsets only,computable downstream from the answer manifest; no denominator or status flag emitted,partial,manifest,
AT-P04,SZ-ESZ,P04a,"electrographic seizure: evolution, duration, localization","{""type"": ""seizure"", ""onset_min"": 10.0, ""duration_s"": 40, ""onset_region"": ""left_temporal"", ""spread"": ""hemispheric"", ""evolution"": {""start_hz"": 4.0, ""end_hz"": 2.5,","realized 40 s; f thirds [1.5, 3.5, 2.0]; changes 10; p2p thirds [42.822647620303805, 117.90995859765555, 136.14600244466246]; ictal/preictal 14.8; LI 0.62 || refs: AT-R013: dur 40 s, f thirds [2.5, 6.0, 2.5], changes 22, max p2p 898.1 uV, LI -0.22 | AT-R015: dur 82 s, f thirds [4.0, 2.5, 2.0], changes 35, max p2p 853.2 uV, LI 0.07 | AT-R017: dur 52 s, f thirds [1.5, 1.0, 1.5], changes 21, max p2p 1057.6 uV, LI 0.30",measured,probes;references,
AT-P04,SZ-ECSZ,P04a,electroclinical seizure: time-locked clinical correlate,no clinical-sign typing,not emitted,unsupported,schema,
AT-P04,RPP-STIMULUS-EVOLUTION,P04a,evolution as >= 2 unequivocal sequential changes,linear start_hz -> end_hz ramp,10 changes >= 0.5 Hz on F3-C3,measured,probes,monotonic ramp only; no morphology/location evolution and no stimulus context
AT-P05,SZ-ESZ,P05a,"electrographic seizure: evolution, duration, localization","{""type"": ""seizure"", ""onset_min"": 10.0, ""duration_s"": 70, ""onset_region"": ""left_temporal"", ""spread"": ""none"", ""evolution"": {""start_hz"": 5.0, ""end_hz"": 3.0, ""ampli","realized 70 s; f thirds [5.0, 3.5, 3.0]; changes 16; p2p thirds [59.41380577131767, 95.00037770852127, 108.57895511366777]; ictal/preictal 10.7; LI 0.65 || refs: AT-R019: dur 70 s, f thirds [4.0, 4.5, 3.0], changes 30, max p2p 273.3 uV, LI -0.42 | AT-R021: dur 54 s, f thirds [4.0, 3.5, 3.0], changes 17, max p2p 155.7 uV, LI 0.03 | AT-R023: dur 111 s, f thirds [5.0, 7.0, 4.0], changes 62, max p2p 13497.4 uV, LI 0.76",measured,probes;references,age_group adolescent (schema has no adult)
AT-P05,SZ-ECSZ,P05a,electroclinical seizure: time-locked clinical correlate,no clinical-sign typing,not emitted,unsupported,schema,
AT-P05,RPP-STIMULUS-EVOLUTION,P05a,evolution as >= 2 unequivocal sequential changes,linear start_hz -> end_hz ramp,16 changes >= 0.5 Hz on F7-T3,measured,probes,monotonic ramp only; no morphology/location evolution and no stimulus context
AT-P06,BG-CONTINUITY,P06a,low_voltage 15 uV,low_voltage,IBI(<25 uV) frac 0.41; supp<5uV 0.00; IBI median 3.2 s; burst median 1.2 s,measured,probes,adult reference deferred (I-CARE unitless); adolescent stand-in
AT-P06,BG-VOLTAGE,P06a,low_voltage 15 uV,amplitude_uv 15,"median p2p 12.3 uV (p10 6.1, p90 25.7)",measured,probes,neonatal thresholds must not be reused; ACNS adult low-voltage/suppression cut-offs need a calibrated reference
AT-P06,BG-CONTINUITY,P06b,burst_suppression 50 uV bursts,burst_suppression,IBI(<25 uV) frac 0.76; supp<5uV 0.72; IBI median 13.5 s; burst median 4.5 s,measured,probes,adult reference deferred (I-CARE unitless); adolescent stand-in
AT-P06,BG-VOLTAGE,P06b,burst_suppression 50 uV bursts,amplitude_uv 50,"median p2p 1.1 uV (p10 0.8, p90 46.9)",measured,probes,neonatal thresholds must not be reused; ACNS adult low-voltage/suppression cut-offs need a calibrated reference
AT-P06,BG-CONTINUITY,P06c,suppressed 8 uV,suppressed,IBI(<25 uV) frac 1.00; supp<5uV 0.00; IBI median 599.2 s; burst median n/a s,measured,probes,adult reference deferred (I-CARE unitless); adolescent stand-in
AT-P06,BG-VOLTAGE,P06c,suppressed 8 uV,amplitude_uv 8,"median p2p 6.5 uV (p10 4.0, p90 10.4)",measured,probes,neonatal thresholds must not be reused; ACNS adult low-voltage/suppression cut-offs need a calibrated reference
AT-P06,BG-BURST-MODIFIERS,P06b,"burst duration, highly epileptiform fraction, identical morphology","{""burst_s"": 2.0, ""ibi_s"": 8.0, ""ibi_floor"": 0.005}",burst median 4.5 s; IBI median 13.5 s; epileptiform/identical-morphology not measured in P4,partial,probes,
AT-P06,BG-PREDOMINANT-FREQUENCY,P06a;P04a;P05a,dominant frequency equals the requested dominant_hz,dominant_hz 4.0 / 9.0 / 10.0,"P06a: requested 4.0 Hz -> PSD peak 0.5 Hz, rel alpha 0.01, rel delta 0.84 | P04a: requested 9.0 Hz -> PSD peak 0.5 Hz, rel alpha 0.12, rel delta 0.75 | P05a: requested 10.0 Hz -> PSD peak 0.5 Hz, rel alpha 0.14, rel delta 0.72",partial,probes,the spectral peak stays in the delta band whatever dominant_hz asks; Siena awake adults (2-30 Hz) show rel delta 0.33-0.51
AT-P06,BG-PDR,P04a;P05a,"posterior dominant rhythm, reactivity to eye opening",dominant_hz with sleep weighting; no eye-opening event,"posterior/anterior power P04a 0.86, P05a 0.59; rel alpha P04a 0.12, P05a 0.14",partial,probes,"no eye-opening stimulus exists, so PDR reactivity cannot be exercised; alpha share is small"
AT-P06,BG-AP-GRADIENT,P04a;P05a,anterior-posterior gradient,no explicit control,measured as posterior/anterior power ratio above,measured,probes,
AT-P06,BG-SYMMETRY,P01c,see AT-P01,,,measured,probes,
AT-P06,BG-REACTIVITY,A07,present / absent / unclear / unknown / SIRPIDs-only,present|absent binary,unknown rejected by schema,unsupported,acceptance,
AT-P06,BG-STATE-CHANGES,,state changes and N2 transients typed,state_change event exists; no transient morphology typing,not measured,unsupported,schema,
AT-P06,BG-CAPE,,"cyclic alternating pattern of encephalopathy, >= 6 cycles",no control,not emitted,unsupported,schema,
AT-P06,BG-BREACH,,breach effect,no control,not emitted,unsupported,schema,
AT-P07,RPP-TIME-RATE,P07a,LPD 1.0 Hz; >= 6 cycles per run,run_duration_s 60.0,"3 runs; run median 63.6 s; discharges/run median 44; IDI mean 0.991 s, CV 0.274; autocorr f 0.92 Hz",measured,probes,fixed frequency by construction; regularity (CV) is what distinguishes periodic from rhythmic in P4
AT-P07,RPP-LOCATION,P07a,lateralized (left temporal),onset_region left_temporal,LI median 0.33; row T3-T5,measured,probes,
AT-P07,RPP-TYPE,P07a,"LPD morphology (sharp + slow, inter-discharge interval)",periodic flag selects a sharp-slow template; rda otherwise,IDI CV 0.274; six cycles present in 3/3 runs,partial,probes,"morphology itself (sharpness, after-going slow wave, duty cycle) is not measured in P4"
AT-P07,SZ-IIC,P07a,ictal-interictal continuum classification,no IIC flag,not emitted,unsupported,schema,
AT-P08,RPP-TIME-RATE,P08a,LRDA 2.0 Hz; >= 6 cycles per run,run_duration_s 30.0,"5 runs; run median 29.6 s; discharges/run median 32; IDI mean 0.848 s, CV 0.617; autocorr f 1.97 Hz",measured,probes,fixed frequency by construction; regularity (CV) is what distinguishes periodic from rhythmic in P4
AT-P08,RPP-LOCATION,P08a,lateralized (left temporal),onset_region left_temporal,LI median 0.06; row F8-T4,measured,probes,
AT-P08,RPP-TYPE,P08a,"LRDA morphology (rhythmic delta, no inter-wave interval)",periodic flag selects a sharp-slow template; rda otherwise,IDI CV 0.617; six cycles present in 5/5 runs,partial,probes,"morphology itself (sharpness, after-going slow wave, duty cycle) is not measured in P4"
AT-P08,SZ-IIC,P08a,ictal-interictal continuum classification,no IIC flag,not emitted,unsupported,schema,
AT-P08,RPP-STIMULUS-EVOLUTION,P08a,no evolution for LRDA,fixed frequency,8 changes >= 0.5 Hz,measured,probes,
AT-P07,RPP-TIME-RATE,P07b,six-cycle boundary,0.5 Hz x 4 s (floor); 1 Hz x 6 s,"0.5 Hz run 4.7 s -> 2 discharges, six=False; 0.5 Hz run 3.3 s -> 2 discharges, six=False; 0.5 Hz run 4.4 s -> 1 discharges, six=False; 0.5 Hz run 4.2 s -> 3 discharges, six=False; 0.5 Hz run 3.4 s -> 3 discharges, six=False; 0.5 Hz run 5.3 s -> 2 discharges, six=False; 0.5 Hz run 3.7 s -> 2 discharges, six=False; 0.5 Hz run 4.6 s -> 3 discharges, six=False; 0.5 Hz run 2.5 s -> 2 discharges, six=False; 1.0 Hz run 6.0 s -> 4 discharges, six=False; 1.0 Hz run 6.4 s -> 6 discharges, six=True; 1.0 Hz run 5.6 s -> 4 discharges, six=False; 1.0 Hz run 4.8 s -> 3 discharges, six=False; 1.0 Hz run 5.5 s -> 5 discharges, six=False; 1.0 Hz run 6.0 s -> 5 discharges, six=False; 1.0 Hz run 4.8 s -> 4 discharges, six=False",measured,probes,a 4-s floor cannot yield six cycles below 1.5 Hz
AT-P08,RPP-TYPE,P08a;P08b,LRDA vs polymorphic focal slowing contrast,asymmetry slowing_hz 2.0 vs rhythmic_pattern LRDA,"P08b LI -0.058, peak 0.5 Hz; LRDA run IDI CV 0.617",measured,probes,regularity separates them in P4; a reader-facing contrast still needs clinical review
